safe_idx,rounds,click_predictions_mean,click_predictions_std,click,opt_prices,payprice,slotprice,payprice_predictions_mean,payprice_predictions_std
134,0,0.0,5.77350293074713e-06,0,53.85127154998672,70,70,69.99999999817135,5.77350293074713e-06
137,0,0.0,5.77350293074713e-06,0,53.85127154995764,70,70,69.99999999817135,5.77350293074713e-06
147,0,0.0,1.0,0,8.967662773517174e-17,23,0,-0.6009308268639697,0.9994225964967794
157,0,0.0,0.6886112418780318,0,53.85249058083934,80,80,78.42542743344987,0.21176324153794424
160,0,1.0,0.9767222340402186,1,64.8159375272732,80,80,73.27360400883039,0.5350268944792425
169,0,1.0,1.0000000413701846e-05,1,95.06707219323292,100,0,99.99999998723943,1.0000000413701846e-05
176,0,1.0,0.6850209052739641,0,54.9255823027583,70,70,69.98673005380367,0.19559073235337854
177,0,1.0,1.0000000413701846e-05,1,92.02665364905371,97,0,97.00000000364214,1.0000005964815199e-05
182,0,1.0,1.0000000413701846e-05,1,239.22851931188345,244,0,243.99999997559004,1.0000000413701846e-05
186,0,0.0,1.0,0,8.97469058401039e-17,80,31,0.008449925503507962,0.9999999788766469
187,0,1.0,1.0000000413701846e-05,1,34.02895841636887,39,5,38.9999999961,1.0000000413701846e-05
190,0,0.0,1.0000000413701846e-05,0,28.314486140580488,50,50,49.999999995000046,1.0000000413701846e-05
193,0,1.0,1.0000000413701846e-05,1,65.02722112861572,70,70,69.99999999361293,1.0000005964815199e-05
196,0,0.0,0.9999999970529398,1,53.904501420148954,142,0,198.44473594298648,0.556747202384233
197,0,0.0,1.0000005964815199e-05,0,53.85127154492715,70,70,70.00000000703179,1.0000000413701846e-05
205,0,0.0,0.999999999999986,1,9.03353529446908e-17,140,140,0.07892384548013273,0.9999998410976051
208,0,1.0,0.9635337566849053,1,55.17161809212271,70,70,63.99509814559602,0.46071578022789506
213,0,0.0,5.77350293074713e-06,0,53.851271549986734,70,70,69.99999999817135,5.77350293074713e-06
222,0,1.0,1.0000000413701846e-05,1,65.02722112724733,70,70,69.99999999399505,1.0000005964815199e-05
233,0,1.0,1.0000000413701846e-05,1,65.02722112939666,70,70,69.99999999878312,1.000001151592547e-05
240,0,0.0,0.9999999577032201,1,29.362436812937993,101,0,51.9007900160843,0.43903638027909847
247,0,1.0,1.0000000413701846e-05,1,275.1154716911707,280,280,279.99999997199996,1.0000000413701846e-05
260,0,0.0,5.77350293074713e-06,0,53.851271543670165,70,70,69.99999999817135,5.77350293074713e-06
281,0,0.0,1.0,1,53.851271547063334,49,5,162.3539494602687,0.4340062250618875
305,0,0.0,0.6886112418780316,0,53.85249058086299,80,80,78.42542743135516,0.21176324153794424
312,0,0.0,7.071068104396856e-06,0,53.85127154719272,80,80,79.9999999962618,7.071068104396856e-06
319,0,0.0,5.77350293074713e-06,0,53.85127154375727,70,70,69.99999999817135,5.77350293074713e-06
320,0,1.0,0.672563947285874,0,61.055544244240615,70,70,70.1384686236672,0.18806558486336816
321,0,0.0,1.0,1,8.967638535445766e-17,22,0,7.860073664774861e-195,1.0
329,0,0.0,0.9999999992302098,1,53.87847642614339,51,0,72.69826445970558,0.558131770072213
343,0,0.0,1.0000005964815199e-05,0,53.851271548537156,80,80,79.99999999505185,1.0000005964815199e-05
350,0,0.0,1.0,1,8.967645314458048e-17,115,0,7.68175770370411e-195,1.0
351,0,0.0,1.0,0,1.327591421698962e-07,76,0,9.343865813330645,0.9956508233056971
352,0,0.0,1.0,1,8.967629699852011e-17,76,0,-1.3627207953110103,0.9867834658259044
366,0,0.0,5.77350293074713e-06,0,53.85127154362852,70,70,69.99999999817135,5.77350293074713e-06
367,0,0.0,1.0000000413701846e-05,0,28.314486140550105,50,50,49.999999995000046,1.0000000413701846e-05
369,0,0.0,1.0000000413701846e-05,0,28.31448614058075,50,50,49.999999995000046,1.0000000413701846e-05
375,0,0.0,0.9999999442737888,1,1.2798579713752325e-16,50,50,4.597271496690187,0.995763956593153
376,0,0.0,1.0000000413701846e-05,0,28.314486140588166,50,50,49.999999995000046,1.0000000413701846e-05
381,0,1.0,0.9861629093585658,0,63.364210931922294,70,70,73.21246032041496,0.43123324950275854
383,0,1.0,0.672563947285874,0,61.05554424508037,70,70,70.1384686236672,0.18806558486336816
391,0,0.0,7.071068104396856e-06,0,53.85127154726158,80,80,79.9999999962618,7.071068104396856e-06
394,0,0.0,0.999999926309049,1,0.1287038766854675,92,5,25.606760476494003,0.47259125437370103
438,0,0.0,5.77350293074713e-06,0,53.851271543630155,70,70,69.99999999817135,5.77350293074713e-06
439,0,0.0,1.0,1,1.209616075740383e-16,184,5,3.7543211378837107,0.9953557746889272
440,0,0.0,1.0,1,46.711187062141875,69,5,62.75104873090588,0.8793719721195767
445,0,1.0,1.0000000413701846e-05,0,44.518943260265374,50,50,49.57982216382108,0.20931301614648254
447,0,0.0,1.0000000413701846e-05,0,28.314486140579454,50,50,49.999999995000046,1.0000000413701846e-05
449,0,0.0,1.0000000413701846e-05,0,28.31448614062578,50,50,49.999999995000046,1.0000000413701846e-05
452,0,1.0,0.9329869020536563,0,60.21150295434628,70,70,68.72768916693406,0.29669050690130205
455,0,0.0,1.0,1,53.85127154706514,44,5,139.28580485730018,0.4520564937956686
461,0,0.0,1.0,1,8.967666115244971e-17,20,20,4.664955922866131e-08,1.0
469,0,0.0,1.0,1,8.967664550876105e-17,106,0,1.0838040744897836e-194,1.0
482,0,0.0,1.0,0,8.967622471374477e-17,77,0,2.841340414681849e-194,1.0
490,0,1.0,0.9992359253671527,1,29.88253930036852,70,70,40.88009326036363,0.817051791306538
498,0,0.0,1.0,1,53.85127154709636,61,0,188.87235251006646,0.6970291906679159
519,0,0.0,1.0,1,53.85127385761368,61,0,85.27949311374303,0.48941778077693554
542,0,0.0,1.0,1,53.85127154706344,56,0,194.92696969899347,0.6369348973596195
551,0,0.0,1.0,0,8.967661706363409e-17,148,148,1.9254722508953147e-173,1.0
555,0,0.0,1.0000005964815199e-05,0,53.85127152083829,70,70,69.99999999518377,1.0000000413701846e-05
560,0,0.0,5.77350293074713e-06,0,53.85127153704586,70,70,69.99999999817135,5.77350293074713e-06
574,0,1.0,0.672563947285874,0,61.05554428239042,70,70,70.1384686236672,0.18806558486336816
582,0,0.0,5.77350293074713e-06,0,53.851271530914204,70,70,69.99999999817135,5.77350293074713e-06
593,0,1.0,0.9861629093585658,0,63.36421093053555,70,70,73.21246032041496,0.43123324950275854
600,0,0.0,5.77350293074713e-06,0,53.85127152574867,70,70,69.99999999817135,5.77350293074713e-06
608,0,0.0,0.9999999577032201,1,29.362436806605867,101,0,51.9007900160843,0.43903638027909847
610,0,0.0,1.0,1,8.967631790418964e-17,30,5,2.1561564953759298e-44,1.0
622,0,0.0,1.000001151592547e-05,0,53.8512715452406,70,70,69.99999999401902,1.0000005964815199e-05
624,0,1.0,0.672563947285874,0,61.05554424278974,70,70,70.1384686236672,0.18806558486336816
627,0,0.0,1.0,1,8.967667752256517e-17,26,0,1.4835650743982431e-196,1.0
631,0,1.0,0.6100538729668676,0,57.46141251385878,70,70,70.00610818745729,0.014011910290588375
640,0,0.0,1.0,1,53.85127154716136,20,5,124.14178649975997,0.8586909374055927
651,0,0.0,1.0,0,8.967631799839112e-17,148,148,1.9254722508953147e-173,1.0
653,0,0.0,1.000001151592547e-05,1,53.85127154524232,70,70,68.6993115576464,0.21115885300605006
661,0,0.0,1.0,1,8.967638282439689e-17,69,5,-0.3495050985313477,0.9971516554140452
665,0,1.0,1.0000000413701846e-05,1,11.179213719599991,16,5,16.00000000786909,1.0000000413701846e-05
671,0,1.0,0.9992359253671527,1,29.88253931644846,70,70,40.88009326036363,0.817051791306538
681,0,0.0,1.0,1,53.85127154709305,300,0,86.5881910583577,0.5484358292310727
683,0,1.0,0.9992359253671527,0,22.245230826715645,70,70,40.1389055766938,0.8261023952563419
685,0,0.0,1.0,1,53.851271547192134,34,0,112.84485437653352,0.8687458830120951
688,0,0.0,0.9999998254974473,1,54.26087329442366,109,0,73.63497523765773,0.5683758378803274
693,0,0.0,0.9999999999987514,1,3.4231615345121256,111,5,14.567946123449804,0.9503854646463281
699,0,0.0,1.0,1,8.96768365534912e-17,126,5,2.6507842647045e-44,1.0
706,0,0.0,0.8195749523853382,0,53.852465053717914,80,80,76.1870232669933,0.29612699193462744
708,0,0.0,5.77350293074713e-06,0,53.851271525957706,70,70,69.99999999817135,5.77350293074713e-06
709,0,0.0,1.0,1,1.1073296823709007,203,0,28.448230317470458,0.9534596986401699
718,0,0.0,0.9893219894745849,1,47.26592207853249,70,70,64.42707263887817,0.587885454751496
743,0,1.0,0.9982654847705492,1,52.78489409194957,70,70,63.6252249351561,0.6189945617461072
772,0,1.0,1.0000000413701846e-05,1,95.06707219781924,100,0,99.99999998723943,1.0000000413701846e-05
778,0,1.0,0.672563947285874,0,61.055544244492,70,70,70.1384686236672,0.18806558486336816
788,0,0.0,1.000001151592547e-05,0,53.85127154524238,70,70,69.99999999401902,1.0000005964815199e-05
793,0,1.0,0.9861629093585658,0,63.36421093848737,70,70,73.21246032041496,0.43123324950275854
812,0,1.0,1.0000000413701846e-05,1,164.04111491135703,169,5,168.9999999785513,1.0000000413701846e-05
814,0,0.0,0.9999998254974473,1,54.260873294353566,109,0,73.63497523765773,0.5683758378803274
815,0,0.0,0.9999999920082451,0,1.4921977058739117e-07,80,80,9.488490507508127,0.9938376423413735
820,0,0.0,1.0000000413701846e-05,0,28.31448614056221,50,50,49.999999995000046,1.0000000413701846e-05
832,0,0.0,1.0,1,8.972709891318481e-17,40,31,0.006057908829872989,0.9999999926601895
835,0,1.0,0.672563947285874,0,61.055544247293774,70,70,70.1384686236672,0.18806558486336816
849,0,0.0,1.0,1,8.967611799704837e-17,151,0,5.362943890194384e-196,1.0
859,0,0.0,1.0,1,53.85127157467395,71,0,184.60188207292052,0.6736567668501984
887,0,0.0,1.0,1,8.967628300335966e-17,17,10,4.716497104410659e-15,1.0
891,0,0.0,1.0,1,8.967651883310713e-17,10,10,1.1369088073414723e-15,1.0
892,0,0.0,1.0,1,8.967579523038033e-17,26,0,2.908839597689226e-197,1.0
900,0,0.0,1.0,1,8.967647871029234e-17,20,20,1.508538201177571e-08,1.0
903,0,0.0,1.0000005964815199e-05,0,53.851271545112006,70,70,69.99999999518377,1.0000000413701846e-05
910,0,0.0,0.9999984613062912,1,55.067560742808254,92,0,85.27949311374303,0.48941778077693554
922,0,0.0,5.77350293074713e-06,0,53.85127152588863,70,70,69.99999999817135,5.77350293074713e-06
926,0,1.0,0.7857971134393218,0,59.205376719533135,70,70,69.76412141146456,0.25865244776357876
946,0,0.0,0.9999994715200833,1,54.56408371961586,94,0,174.93899298493346,0.7570686319301664
954,0,1.0,0.9861629093585658,0,63.36421093539256,70,70,73.21246032041496,0.43123324950275854
959,0,0.0,1.0,1,0.10652380510523997,252,5,23.288662433949632,0.6708951502389762
964,0,1.0,0.9329869020536563,1,59.87463677019566,70,70,68.81474460528436,0.32552817052806937
980,0,1.0,0.9590591520392334,1,57.54909422328538,70,70,66.2078410808841,0.4593790024428569
986,0,0.0,1.0,0,8.967644624751534e-17,148,148,2.954558888694811e-172,1.0
990,0,0.0,1.0,1,53.85127154941409,127,5,104.71804980119,0.5243106372418773
1003,0,0.0,7.071068104396856e-06,0,53.851271547063355,80,80,79.9999999962618,7.071068104396856e-06
1022,0,0.0,0.9999998075051882,1,2.634275136925977e-08,50,50,6.195243009367598,0.9922939385835932
1025,0,0.0,5.77350293074713e-06,0,53.851271525858266,70,70,69.99999999817135,5.77350293074713e-06
1032,0,1.0,0.9939265365992909,0,60.508225376332604,70,70,69.81698545799335,0.40441634096945533
1034,0,0.0,0.9999999999999984,1,1.5364745024265116,118,5,12.107891431657855,0.7338208591016154
1037,0,1.0,0.672563947285874,0,61.05554424531334,70,70,70.1384686236672,0.18806558486336816
1040,0,0.0,1.0000005964815199e-05,0,53.851271549876884,80,80,79.99999999505185,1.0000005964815199e-05
1044,0,0.0,1.0000000413701846e-05,0,28.314486140506936,50,50,49.999999995000046,1.0000000413701846e-05
1046,0,0.0,1.0,1,53.85127154359413,57,5,157.3183764303921,0.687678985808347
1065,0,0.0,1.0,1,53.85127154706329,37,0,108.91218801904262,0.5379114151912386
1067,0,0.0,5.77350293074713e-06,0,53.85127152585962,70,70,69.99999999817135,5.77350293074713e-06
1070,0,0.0,1.0,1,1.5191159141559385,239,5,12.100352241270622,0.9506499647288055
1084,0,0.0,1.0,1,53.851271547094385,51,0,152.8327994608032,0.8116118376414405
1085,0,1.0,0.9861629093585658,0,63.36421093725908,70,70,73.21246032041496,0.43123324950275854
1090,0,1.0,0.6837340318436849,1,60.53817642282363,70,70,70.16627431964406,0.23963116241016413
1099,0,0.0,1.0,1,8.967646840000411e-17,135,0,8.22921936837968e-195,1.0
1105,0,0.0,0.9999835852759564,1,57.82388166919935,148,0,200.41716212906607,0.6499633138407257
1106,0,1.0,0.9689751517597402,0,60.46221077071373,70,70,68.9599532127257,0.3359126733504349
1109,0,0.0,1.0000000413701846e-05,1,28.715860622439543,50,50,48.86570997128878,0.21179689539090787
1115,0,0.0,1.0,1,53.85127152695537,65,5,99.9442349991817,0.8690682111560144
1139,0,0.0,0.9205647090734663,0,53.853184828783924,80,80,72.98371070051343,0.40953059485449606
1141,0,1.0,0.9746894439765129,1,51.64720791330017,70,70,61.350788710185356,0.5601319735803465
1149,0,0.0,1.0,1,53.85127154706535,61,0,188.87235251006646,0.6970291906679159
1150,0,0.0,1.0,1,8.967657498695687e-17,221,39,2.7362282753667426e-10,1.0
1157,0,0.0,5.77350293074713e-06,0,53.8512715256626,70,70,69.99999999817135,5.77350293074713e-06
1182,0,0.0,0.9999945860013054,0,56.13276600304603,16,0,81.48495923715015,0.6028967847442045
1187,0,0.0,1.0000005964815199e-05,0,53.851271549941515,80,80,79.99999999505185,1.0000005964815199e-05
1189,0,0.0,1.0,1,53.8512763140683,61,0,73.63497523765773,0.5683758378803274
1191,0,0.0,1.0000005964815199e-05,0,53.85127154514463,70,70,69.99999999518377,1.0000000413701846e-05
1204,0,0.0,5.77350293074713e-06,0,53.85127152585918,70,70,69.99999999817135,5.77350293074713e-06
1214,0,0.0,1.0,1,53.85127154706545,300,5,154.96441967222202,0.6229653371615095
1225,0,1.0,0.9329869020536563,0,60.21150296656123,70,70,68.72768916693406,0.29669050690130205
1226,0,0.0,1.000001151592547e-05,0,53.85127154524162,70,70,69.99999999401902,1.0000005964815199e-05
1230,0,1.0,0.6100538729668676,0,57.461412509845715,70,70,70.00610818745729,0.014011910290588375
1231,0,0.0,1.0000000413701846e-05,0,28.31448614054954,50,50,49.999999995000046,1.0000000413701846e-05
1239,0,0.0,1.000001151592547e-05,0,53.85127154524183,70,70,69.99999999401902,1.0000005964815199e-05
1241,0,0.0,1.0,1,8.967641685038758e-17,167,5,1.528234868146512e-44,1.0
1249,0,1.0,0.9939265365992909,0,60.508225375811314,70,70,69.81698545799335,0.40441634096945533
1252,0,0.0,1.0,0,8.967646607671951e-17,148,148,1.9254722508953147e-173,1.0
1254,0,0.0,5.77350293074713e-06,0,53.8512715258886,70,70,69.99999999817135,5.77350293074713e-06
1256,0,0.0,1.0000000413701846e-05,0,28.31448614056561,50,50,49.999999995000046,1.0000000413701846e-05
1265,0,0.0,1.0,1,1.2247629892651044,129,0,16.04867713960116,0.760894187258241
1267,0,0.0,1.0000000413701846e-05,0,28.314486140601705,50,50,49.999999995000046,1.0000000413701846e-05
1272,0,0.0,0.6886112418780316,0,53.852490578515436,80,80,78.42542743135516,0.21176324153794424
1273,0,0.0,1.0,1,53.851271547093035,34,0,155.5071112769303,0.7954839373931237
1276,0,0.0,1.0000005964815199e-05,0,53.85127154511147,70,70,69.99999999518377,1.0000000413701846e-05
1278,0,0.0,0.9893330712456538,1,45.66324248349389,70,70,63.754020087983854,0.5955687727235597
1288,1,0.0,1.0,0,8.002992373300302,80,80,79.999999992,1.0000000413701846e-05
1289,1,0.0,1.0,0,8.00299648814061,70,70,69.99999999913756,4.472136140012669e-06
1293,1,0.0,1.0,1,3.207758116927812,76,0,14.727665658931807,0.9298013498453116
1307,1,0.0,0.9999999999999999,0,8.002997603592288,70,70,69.99999999980591,2.2941739892258562e-06
1318,1,0.0,0.9999999999999999,0,8.002996818569967,70,70,36.343115922049826,0.920200138975164
1330,1,0.0,0.9999999999999999,1,9.794484375336867e-12,70,70,2.2964956433529826,0.9998502598043693
1333,1,0.0,1.0,1,2.1888142696130616e-11,81,0,0.06259504612605392,0.9999969251786974
1339,1,0.0,0.9999999999999999,1,0.0,70,70,4.109503652736454,0.9993287338117242
1343,1,0.0,0.9999999999999999,1,0.0,70,70,7.967976008487884,0.9978949729468786
1346,1,0.0,1.0,1,2.1570195358078282e-11,151,0,0.11931512460442378,0.9999915935755405
1347,1,0.0,0.9999999999999999,1,8.00299700028842,70,70,24.601888138596955,0.9798112615384659
1350,1,0.0,0.9999999806758412,1,1.992040770917697e-11,36,5,0.4286796070128496,0.9999769802250945
1356,1,0.0,1.0,0,8.002992185557451,148,148,147.99999999506667,5.77350293074713e-06
1360,1,0.0,0.9999999999999993,1,2.2234777089633054e-11,50,50,0.0,1.0
1373,1,0.0,0.9999999999999999,0,8.002997603589778,70,70,69.99999999980591,2.2941739892258562e-06
1377,1,0.0,0.9999999999999999,0,8.002997591465409,70,70,69.99999999950647,3.7796260032917645e-06
1378,1,0.0,0.9999999999999999,0,8.002997591467405,70,70,69.99999999950647,3.7796260032917645e-06
1380,1,1.0,0.9959286687200282,0,5.686293009253579e-10,13,0,0.513311958311044,0.9999772996542248
1390,1,0.0,0.999999999056042,1,8.029280629277515,40,31,39.999999996,1.0000000413701846e-05
1396,1,0.0,0.9999999999999999,0,8.002997626063884,70,70,70.00000000011076,1.0000000413701846e-05
1408,1,0.0,0.999999998222961,1,0.0,40,5,9.112471593957801,0.9966253272914423
1411,1,0.0,1.0,1,2.0311263156709265e-11,124,0,0.3457575471853401,0.9999984530961229
1426,1,0.0,1.0,0,8.00299225064448,80,80,79.9999999950203,1.0000000413701846e-05
1433,1,0.0,0.9999999999999999,0,8.002997603590245,70,70,69.99999999980591,2.2941739892258562e-06
1441,1,0.0,0.9999999999999999,1,0.0,70,70,6.093106440411416,0.998477934403848
1455,1,0.0,1.0,0,8.00299237330048,80,80,79.999999992,1.0000000413701846e-05
1467,1,0.0,1.0,1,2.189256117382546e-11,73,5,0.06292100793582599,0.9999995842338695
1473,1,0.0,1.0,1,1.632864086539822e-11,101,0,1.0811877250671387,0.9998309570260351
1480,1,0.0,1.0,0,8.002992329322584,77,0,76.9999999923,9.999989311465896e-06
1486,1,0.0,1.0,1,0.0,75,5,6.587051935787713,0.9987348157193326
1497,1,0.0,1.0,1,0.0,106,0,5.003463041450756,0.9995343707189103
1502,1,0.0,0.9999999999999999,0,8.002997583681095,70,70,69.99999999942207,4.472136140012669e-06
1513,1,0.0,0.9999999999999999,0,8.002997630115297,70,70,69.99999999738098,7.071083805303362e-06
1514,1,0.0,1.0,0,2.2215835817116534e-11,80,80,4.422708523312403e-52,1.0
1519,1,0.0,1.0,0,8.002992509470742,76,0,75.99999999240092,1.0000000413701846e-05
1520,1,0.0,0.9999999999974971,0,8.004311062823982,50,50,49.99999999974066,2.886751465373565e-06
1532,1,0.0,0.9999999999999999,0,8.002997583681088,70,70,69.99999999942207,4.472136140012669e-06
1543,1,0.0,1.0,0,8.002992509469994,76,0,75.99999999240092,1.0000000413701846e-05
1548,1,0.0,0.999999034085811,1,2.1772836090336093e-11,29,0,0.07894771268068494,0.9999995814323346
1561,1,0.0,0.9999999999999999,0,8.002997583681113,70,70,69.99999999942207,4.472136140012669e-06
1571,1,0.0,0.9999999999999999,0,8.002997630115402,70,70,69.99999999738098,7.071083805303362e-06
1575,1,0.0,1.0,1,1.9342045741185765,135,0,12.590897494456419,0.9742763168947596
1603,1,0.0,0.9999999999974971,0,8.004311062823525,50,50,49.99999999974066,2.886751465373565e-06
1608,1,0.0,1.0,1,0.0,97,0,8.045679512576303,0.9747620547366854
1609,1,0.0,1.0,1,8.002992185557497,203,0,202.99999997970045,9.999983760343299e-06
1625,1,0.0,1.0,1,0.0,80,80,6.566800621660784,0.9966253274202367
1627,1,0.0,1.0,1,5.008296435840634e-12,100,0,3.169169963593182,0.9998286398814087
1628,1,1.0,0.98717732544283,1,4.418277593066802,11,0,13.944238662719727,0.9931321804453057
1635,1,0.0,0.9999999999999999,0,8.002997603591686,70,70,69.99999999980591,2.2941739892258562e-06
1643,1,0.0,1.0,0,8.002994420560357,70,70,69.99999999564278,1.0000005964815199e-05
1649,1,0.0,0.9999999999999999,0,8.002997603591844,70,70,69.99999999980591,2.2941739892258562e-06
1654,1,0.0,0.9999999999999999,1,8.002997587064058,70,70,26.928544217640543,0.9298112029303314
1658,1,0.0,0.9999999999999999,0,8.002997603589646,70,70,69.99999999980591,2.2941739892258562e-06
1665,1,0.0,0.9999999999999999,0,8.002997603591236,70,70,69.99999999980591,2.2941739892258562e-06
1667,1,0.0,0.9999999999999996,1,2.2283768665705047e-11,64,20,6.757860012298909e-25,1.0
1672,1,0.0,0.9999999999974971,0,8.004311062821436,50,50,49.99999999974066,2.886751465373565e-06
1673,1,0.0,0.9999999999999999,1,8.002997591467377,70,70,48.972871982059374,0.7905992325190512
1676,1,0.0,0.9999999999999999,1,0.0,70,70,8.962296215191394,0.9961836099893716
1680,1,0.0,0.9999999999999999,0,8.00299762606339,70,70,70.00000000011076,1.0000000413701846e-05
1683,1,1.0,0.9993874182077036,1,1.802408638806214e-11,17,0,0.5994675030677835,0.9999912102672052
1701,1,0.0,0.9999999999999999,0,8.002997583681118,70,70,69.99999999942207,4.472136140012669e-06
1706,1,0.0,0.9999999999999994,1,2.5463272182990604,65,0,13.740631103515625,0.9936975801594311
1721,1,1.0,0.9998934919990212,1,7.851370833388997,20,20,19.999999998,1.0000000413701846e-05
